p,mean p omega
1.0000,1.0000
1.0000,0.9999
1.0000,1.0000
1.0000,1.0000
0.9997,0.9999
1.0000,1.0000
1.0000,0.9999
0.9997,0.9972
0.9953,0.9984
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
0.9997,0.9999
0.9997,0.9992
1.0000,1.0000
1.0000,0.9960
1.0000,0.9968
1.0000,1.0000
1.0000,1.0000
0.9959,1.0000
0.9972,0.9998
1.0000,1.0000
0.9932,0.9932
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
0.9932,0.9966
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,0.9999
1.0000,0.9974
0.9972,1.0000
1.0000,0.9988
1.0000,1.0000
0.9997,0.9999
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
0.9921,0.9979
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
0.9921,0.9960
1.0000,0.9999
1.0000,1.0000
0.9921,0.9921
1.0000,1.0000
1.0000,1.0000
1.0000,0.9999
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
0.9921,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,0.9980
0.9997,0.9973
1.0000,1.0000
1.0000,1.0000
1.0000,0.9999
0.9997,0.9996
1.0000,1.0000
1.0000,0.9984
0.9997,0.9993
1.0000,0.9986
0.9997,NaN
1.0000,0.9988
1.0000,1.0000
1.0000,1.0000
0.9932,0.9932
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,0.9993
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
0.9958,NaN
1.0000,1.0000
1.0000,1.0000
1.0000,0.9987
1.0000,1.0000
1.0000,1.0000
0.9997,NaN
1.0000,1.0000
1.0000,0.9966
1.0000,1.0000
1.0000,0.9999
0.9921,0.9967
1.0000,0.9999
0.9921,0.9936
1.0000,0.9987
1.0000,0.9984
1.0000,1.0000
1.0000,1.0000
1.0000,NaN
0.9921,0.9974
1.0000,1.0000
1.0000,1.0000
1.0000,NaN
1.0000,0.9987
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,0.9974
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
0.9872,NaN
1.0000,0.9999
1.0000,1.0000
1.0000,1.0000
0.9921,0.9974
1.0000,0.9980
1.0000,1.0000
1.0000,1.0000
0.9921,0.9960
1.0000,1.0000
0.9997,0.9997
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,0.9974
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,0.9995
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
0.9960,0.9980
0.9997,0.9999
1.0000,1.0000
0.9921,0.9921
1.0000,1.0000
1.0000,1.0000
1.0000,0.9989
1.0000,0.9994
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,0.9980
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
0.9921,0.9959
1.0000,0.9991
0.9960,0.9960
1.0000,NaN
1.0000,0.9999
1.0000,NaN
1.0000,1.0000
1.0000,1.0000
1.0000,0.9999
1.0000,1.0000
1.0000,1.0000
0.9997,0.9999
1.0000,1.0000
1.0000,1.0000
1.0000,0.9989
1.0000,0.9999
1.0000,1.0000
1.0000,0.9974
1.0000,0.9999
1.0000,1.0000
1.0000,0.9988
1.0000,0.9999
1.0000,0.9989
0.9932,0.9932
1.0000,1.0000
0.9905,0.9905
1.0000,1.0000
0.9960,0.9960
0.9921,0.9968
1.0000,1.0000
1.0000,0.9999
0.9997,0.9999
1.0000,1.0000
1.0000,1.0000
1.0000,0.9999
1.0000,0.9960
1.0000,1.0000
1.0000,0.9986
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,0.9979
0.9932,0.9932
1.0000,1.0000
1.0000,1.0000
1.0000,0.9980
1.0000,NaN
1.0000,1.0000
1.0000,NaN
1.0000,1.0000
1.0000,0.9994
1.0000,1.0000
1.0000,1.0000
0.9997,0.9997
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,0.9960
1.0000,1.0000
1.0000,1.0000
0.9921,0.9960
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,0.9990
1.0000,1.0000
1.0000,0.9979
1.0000,0.9995
0.9997,0.9979
1.0000,1.0000
0.9960,0.9960
1.0000,1.0000
1.0000,0.9994
1.0000,1.0000
1.0000,1.0000
1.0000,0.9999
1.0000,1.0000
1.0000,1.0000
1.0000,0.9999
1.0000,1.0000
1.0000,1.0000
0.9921,0.9921
1.0000,0.9999
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,0.9974
1.0000,0.9987
1.0000,0.9997
0.9921,0.9947
0.9960,0.9960
1.0000,0.9980
1.0000,0.9999
0.9960,0.9960
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,0.9999
1.0000,0.9960
1.0000,0.9991
0.9953,0.9984
1.0000,1.0000
1.0000,1.0000
0.9997,0.9999
0.9960,0.9960
1.0000,1.0000
1.0000,0.9996
1.0000,0.9992
1.0000,1.0000
1.0000,0.9999
1.0000,1.0000
1.0000,1.0000
1.0000,0.9999
1.0000,1.0000
1.0000,NaN
1.0000,0.9980
0.9997,0.9999
0.9905,0.9922
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
0.9932,0.9966
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
0.9921,0.9921
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
0.9953,0.9984
1.0000,1.0000
1.0000,1.0000
0.9921,0.9921
1.0000,1.0000
1.0000,0.9980
0.9960,0.9960
1.0000,1.0000
0.9997,0.9999
1.0000,1.0000
0.9921,0.9979
0.9921,0.9960
1.0000,1.0000
0.9997,0.9997
0.9921,0.9921
1.0000,1.0000
0.9921,0.9960
0.9921,0.9974
1.0000,1.0000
0.9953,0.9953
0.9997,0.9997
0.9921,0.9956
1.0000,1.0000
1.0000,0.9979
0.9905,0.9905
1.0000,1.0000
1.0000,1.0000
1.0000,0.9980
1.0000,1.0000
1.0000,0.9999
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,0.9996
1.0000,0.9999
0.9932,0.9932
1.0000,0.9999
0.9953,0.9953
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
0.9903,0.9903
1.0000,1.0000
1.0000,0.9994
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
0.9997,0.9999
1.0000,0.9976
1.0000,1.0000
1.0000,1.0000
1.0000,0.9966
1.0000,1.0000
1.0000,1.0000
1.0000,0.9992
1.0000,0.9987
0.9997,0.9999
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
0.9997,0.9999
1.0000,0.9992
1.0000,1.0000
0.9953,0.9975
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
0.9932,0.9932
1.0000,1.0000
1.0000,0.9999
1.0000,1.0000
0.9960,0.9960
1.0000,0.9960
1.0000,1.0000
1.0000,0.9988
0.9763,NaN
1.0000,1.0000
0.9960,0.9960
1.0000,1.0000
1.0000,0.9991
1.0000,0.9974
1.0000,1.0000
1.0000,0.9980
1.0000,1.0000
1.0000,0.9974
1.0000,1.0000
0.9972,1.0000
0.9997,0.9999
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,0.9996
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,0.9999
1.0000,1.0000
1.0000,0.9980
1.0000,0.9999
1.0000,0.9999
1.0000,1.0000
0.9997,0.9994
1.0000,1.0000
1.0000,0.9999
0.9921,0.9921
1.0000,0.9987
0.9953,0.9976
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,0.9985
1.0000,1.0000
1.0000,1.0000
1.0000,NaN
1.0000,0.9999
0.9921,0.9960
1.0000,1.0000
1.0000,0.9974
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
0.9921,0.9941
1.0000,1.0000
1.0000,1.0000
1.0000,0.9987
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,0.9999
1.0000,1.0000
1.0000,1.0000
1.0000,0.9986
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
0.9921,0.9947
0.9921,0.9921
1.0000,1.0000
0.9921,0.9960
1.0000,1.0000
1.0000,1.0000
1.0000,0.9988
1.0000,0.9992
1.0000,0.9984
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,0.9999
0.9997,0.9999
1.0000,0.9984
1.0000,1.0000
0.9997,0.9979
1.0000,0.9992
1.0000,1.0000
1.0000,1.0000
0.9953,0.9937
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,0.9994
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,0.9999
1.0000,0.9972
1.0000,1.0000
0.9921,0.9960
1.0000,0.9952
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,0.9986
1.0000,0.9972
1.0000,0.9994
1.0000,NaN
1.0000,1.0000
1.0000,0.9997
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
0.9906,NaN
1.0000,1.0000
1.0000,0.9960
0.9997,0.9999
1.0000,1.0000
0.9997,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,0.9988
1.0000,1.0000
1.0000,0.9974
1.0000,0.9980
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
0.9921,0.9921
0.9960,0.9960
0.9907,NaN
1.0000,1.0000
0.9953,0.9964
1.0000,0.9989
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,0.9999
0.9921,0.9974
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,0.9980
1.0000,1.0000
1.0000,1.0000
1.0000,0.9973
1.0000,1.0000
1.0000,0.9980
1.0000,1.0000
0.9932,0.9977
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
0.9997,0.9997
0.9921,0.9974
0.9921,0.9960
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,0.9974
1.0000,1.0000
1.0000,0.9980
1.0000,1.0000
1.0000,1.0000
0.9997,1.0000
1.0000,1.0000
1.0000,1.0000
0.9932,0.9932
1.0000,NaN
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
0.9997,0.9998
1.0000,1.0000
1.0000,0.9999
1.0000,1.0000
1.0000,1.0000
0.9917,0.9992
1.0000,0.9984
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,0.9974
1.0000,1.0000
1.0000,0.9999
1.0000,0.9991
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
0.9960,0.9980
0.9997,0.9973
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
0.9997,1.0000
1.0000,0.9999
1.0000,0.9989
1.0000,0.9998
1.0000,1.0000
1.0000,0.9999
1.0000,1.0000
1.0000,1.0000
0.9974,NaN
1.0000,1.0000
0.9905,0.9905
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
0.9921,0.9921
1.0000,1.0000
1.0000,1.0000
1.0000,0.9989
1.0000,1.0000
1.0000,1.0000
1.0000,0.9989
1.0000,1.0000
1.0000,0.9999
1.0000,1.0000
1.0000,1.0000
1.0000,0.9987
0.9921,0.9960
1.0000,1.0000
1.0000,0.9999
0.9932,0.9966
1.0000,1.0000
1.0000,0.9985
1.0000,0.9989
0.9960,0.9960
1.0000,1.0000
1.0000,NaN
0.9905,0.9937
0.9997,1.0000
1.0000,1.0000
0.9997,0.9959
0.9932,0.9932
1.0000,1.0000
1.0000,0.9993
1.0000,0.9989
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,0.9980
0.9953,0.9976
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,0.9999
1.0000,1.0000
0.9960,0.9960
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,0.9999
1.0000,1.0000
1.0000,1.0000
1.0000,0.9996
1.0000,0.9999
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,0.9988
0.9932,0.9966
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,0.9974
1.0000,0.9999
1.0000,1.0000
1.0000,1.0000
1.0000,0.9999
1.0000,0.9984
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,0.9993
0.9921,0.9960
1.0000,0.9999
1.0000,1.0000
1.0000,1.0000
1.0000,0.9999
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,0.9980
1.0000,1.0000
1.0000,0.9984
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,0.9987
1.0000,0.9999
1.0000,1.0000
1.0000,1.0000
0.9953,0.9968
0.9921,0.9980
0.9997,0.9999
0.9921,0.9943
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
0.9997,0.9987
1.0000,0.9980
1.0000,0.9984
1.0000,NaN
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
0.9997,0.9999
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
0.9921,0.9960
1.0000,0.9960
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,0.9972
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,0.9992
1.0000,0.9988
1.0000,0.9999
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
0.9921,0.9968
1.0000,1.0000
0.9921,0.9941
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,0.9993
1.0000,1.0000
1.0000,0.9974
1.0000,1.0000
1.0000,0.9992
1.0000,0.9960
1.0000,0.9984
1.0000,1.0000
1.0000,1.0000
1.0000,0.9989
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
1.0000,1.0000
