p,mean p omega,u,deg
0.0525,0.0670,9.5285,3.0000
0.0685,0.0639,10.2042,6.0000
0.0757,0.0404,9.8340,4.0000
0.0939,0.0806,10.0870,4.0000
0.0765,0.0956,10.3402,6.0000
0.1408,0.0692,9.5269,4.0000
0.0159,0.0633,10.2244,5.0000
0.0159,0.0225,10.2655,7.0000
0.0159,0.0159,10.2815,1.0000
0.0206,0.0298,9.4199,4.0000
0.0211,0.0106,9.2161,3.0000
0.0157,0.0606,10.4308,1.0000
0.0525,0.0274,10.2077,5.0000
0.0685,0.0542,9.7255,5.0000
0.0337,0.0337,9.9344,2.0000
0.0337,0.0204,10.0000,3.0000
0.0031,0.0278,9.8999,4.0000
0.0936,0.0319,10.0000,2.0000
0.0301,0.0730,10.0332,6.0000
0.0936,0.0699,10.0124,4.0000
0.0269,0.0578,9.6437,4.0000
0.0269,0.0371,10.5605,5.0000
0.0211,0.0373,9.2955,5.0000
0.1078,0.0351,9.2836,5.0000
0.0265,0.0474,10.5819,8.0000
0.0357,0.0253,10.0000,4.0000
0.0035,0.0490,9.8927,3.0000
0.0173,0.0186,9.9706,3.0000
0.0029,0.0584,9.2451,5.0000
0.0924,0.0500,10.0434,3.0000
0.0014,0.0394,10.1926,3.0000
0.1044,0.0527,9.5008,6.0000
0.1005,0.0321,10.5530,4.0000
0.1325,0.0540,9.9542,5.0000
0.0505,0.1013,9.8241,6.0000
0.0985,0.0447,9.6253,4.0000
0.0120,0.0036,10.5894,4.0000
0.0998,0.0769,9.6599,7.0000
0.0950,0.1203,10.0000,4.0000
0.0950,0.1162,10.5335,3.0000
0.1585,0.0762,9.8973,5.0000
0.0269,0.0628,9.8668,5.0000
0.0053,0.0409,10.5238,6.0000
0.0939,0.0939,9.8582,3.0000
0.0939,0.0801,9.6910,3.0000
0.0588,0.0372,10.6521,5.0000
0.0032,0.0117,10.0847,3.0000
0.0159,0.0117,9.9577,3.0000
0.0014,0.0205,9.9927,3.0000
0.0342,0.0192,10.3728,3.0000
0.0107,0.0259,10.0264,3.0000
0.0357,0.0565,10.6302,4.0000
0.0337,0.0509,9.7169,4.0000
0.0337,0.0514,10.9402,4.0000
0.0337,0.0337,10.1312,3.0000
0.0244,0.0464,10.5988,4.0000
0.0244,0.0485,10.1637,5.0000
0.0337,0.0429,10.0292,4.0000
0.0337,0.0686,9.0317,4.0000
0.1768,0.0445,10.1720,4.0000
0.0172,0.0518,10.4095,7.0000
0.0172,0.0186,9.9144,4.0000
0.0172,0.0583,10.0324,3.0000
0.1078,0.0444,10.5189,4.0000
0.0357,0.0613,9.5473,4.0000
0.0939,0.0219,10.4935,6.0000
0.0357,0.0220,10.0000,3.0000
0.0357,0.0311,10.0816,4.0000
0.0357,0.0607,10.4109,6.0000
0.0547,0.0400,9.9953,7.0000
0.0107,0.0493,8.9373,3.0000
0.0824,0.0112,10.6304,3.0000
0.0107,0.0392,9.3283,3.0000
0.0244,0.0362,10.2282,5.0000
0.0579,0.0450,10.1300,4.0000
0.0191,0.0967,10.7588,2.0000
0.0950,0.0664,9.6004,4.0000
0.0950,0.0732,10.0000,3.0000
0.0950,0.0932,10.1587,4.0000
0.1585,0.1267,9.7544,4.0000
0.1124,0.0773,9.1685,6.0000
0.0939,0.0491,10.1383,5.0000
0.0254,0.0759,9.6700,6.0000
0.0939,0.0688,10.2494,4.0000
0.0939,0.0562,10.3764,2.0000
0.0186,0.0444,10.3809,3.0000
0.0186,0.0562,10.2509,2.0000
0.0120,0.0390,10.5023,2.0000
0.0342,0.0342,9.8892,1.0000
0.0342,0.0281,10.4296,5.0000
0.1332,0.0781,9.3653,5.0000
0.1332,0.0720,9.5577,5.0000
0.0559,0.0893,10.3534,4.0000
0.0337,0.0445,9.8518,4.0000
0.0337,0.0323,10.0039,5.0000
0.0337,0.0337,10.0000,2.0000
0.0337,0.0599,9.9055,3.0000
0.0337,0.0367,10.5476,4.0000
0.0337,0.0337,10.9537,3.0000
0.0337,0.0733,8.7317,4.0000
0.0172,0.0227,10.3989,3.0000
0.1648,0.0489,10.3219,5.0000
0.0500,0.0172,10.0548,5.0000
0.0172,0.0480,10.0000,4.0000
0.0172,0.0264,10.1209,4.0000
0.0357,0.0345,10.3984,5.0000
0.0269,0.0335,9.9319,4.0000
0.0357,0.0521,10.0747,5.0000
0.0658,0.0677,9.9513,5.0000
0.1378,0.0618,9.6171,6.0000
0.0107,0.0635,10.5217,5.0000
0.0122,0.0286,10.0000,4.0000
0.0107,0.0151,10.5157,4.0000
0.0267,0.0422,8.9365,4.0000
0.0249,0.0390,9.8906,4.0000
0.0871,0.0473,10.4754,6.0000
0.1103,0.0442,9.3296,6.0000
0.0249,0.0644,9.7949,6.0000
0.0244,0.0757,10.2278,4.0000
0.1585,0.1234,9.5966,3.0000
0.0254,0.1022,10.0832,3.0000
0.0939,0.0425,9.6579,4.0000
0.0254,0.0604,10.7876,4.0000
0.1012,0.0598,9.3526,4.0000
0.1012,0.0936,9.8139,4.0000
0.0036,0.0548,10.3227,3.0000
0.0036,0.0166,9.9088,4.0000
0.0659,0.0390,10.1510,2.0000
0.0036,0.0095,10.2783,4.0000
0.0342,0.0346,10.3169,4.0000
0.0342,0.0570,10.0103,2.0000
0.0559,0.0591,10.0000,3.0000
0.0655,0.0552,10.2198,5.0000
0.0559,0.0472,9.9444,4.0000
0.0337,0.0332,10.2006,4.0000
0.0176,0.0058,10.2439,4.0000
0.1124,0.0360,10.4965,5.0000
0.0458,0.0613,8.7727,4.0000
0.0244,0.0304,9.9909,4.0000
0.0172,0.0136,10.4527,4.0000
0.0172,0.0301,10.0904,5.0000
0.0402,0.0380,10.0307,4.0000
0.0172,0.0591,10.0000,4.0000
0.0172,0.0172,10.0000,3.0000
0.0172,0.0358,10.3420,5.0000
0.0172,0.0755,8.5878,3.0000
0.0588,0.0267,10.2927,4.0000
0.0211,0.0308,10.7958,3.0000
0.0211,0.0170,9.9961,4.0000
0.0211,0.0722,10.1785,5.0000
0.0986,0.0190,9.9480,5.0000
0.0036,0.0627,10.3880,4.0000
0.0107,0.0397,10.3533,4.0000
0.1576,0.0313,10.0936,3.0000
0.0249,0.0246,10.0695,2.0000
0.0244,0.0369,10.0956,4.0000
0.0545,0.0516,10.3662,4.0000
0.0249,0.0266,10.4288,5.0000
0.1872,0.0824,9.3634,4.0000
0.1872,0.1279,9.5619,5.0000
0.0254,0.0283,10.1711,4.0000
0.0254,0.0425,10.3770,4.0000
0.0765,0.0862,9.1937,3.0000
0.0186,0.0697,10.1541,4.0000
0.0593,0.0355,10.5368,4.0000
0.0036,0.0491,10.1784,6.0000
0.0186,0.0348,10.3486,4.0000
0.0659,0.0501,9.6130,3.0000
0.0824,0.0440,10.0702,3.0000
0.0357,0.0269,9.9542,3.0000
0.0588,0.0383,10.1867,7.0000
0.0559,0.0569,9.8659,3.0000
0.0559,0.0591,10.0000,3.0000
0.0559,0.0365,9.8062,4.0000
0.0176,0.0300,10.1089,5.0000
0.0176,0.0176,10.0000,3.0000
0.0176,0.0476,10.3493,6.0000
0.0939,0.0508,10.4173,4.0000
0.0939,0.0562,9.5889,2.0000
0.1122,0.0528,10.0533,3.0000
0.0172,0.0184,10.4409,3.0000
0.0208,0.0651,9.9497,5.0000
0.0172,0.0184,10.5981,3.0000
0.0029,0.0702,8.7846,3.0000
0.0505,0.0630,9.7803,5.0000
0.1736,0.0693,10.1232,3.0000
0.1736,0.1276,10.3847,3.0000
0.0357,0.0592,7.8924,4.0000
0.0211,0.0240,10.8090,5.0000
0.0211,0.0211,10.2898,4.0000
0.0211,0.0537,10.2618,5.0000
0.0274,0.0199,9.4281,3.0000
0.0107,0.0537,9.5290,4.0000
0.0249,0.0882,9.3879,5.0000
0.0279,0.0394,10.5400,7.0000
0.0249,0.0230,10.0000,3.0000
0.0249,0.0249,10.0000,2.0000
0.0249,0.0655,10.6533,4.0000
0.1872,0.0130,9.1881,3.0000
0.1604,0.1034,10.4494,3.0000
0.0254,0.0333,10.6694,4.0000
0.0254,0.0254,10.0000,3.0000
0.0186,0.0254,9.9657,2.0000
0.0254,0.0209,10.3772,3.0000
0.0186,0.0699,8.8872,3.0000
0.1249,0.0257,10.7217,5.0000
0.0659,0.0688,9.6888,4.0000
0.0659,0.0636,10.3415,4.0000
0.0004,0.0658,10.7907,4.0000
0.0547,0.0345,9.8878,4.0000
0.0036,0.0301,10.2999,2.0000
0.0588,0.0265,10.3183,4.0000
0.0186,0.0411,9.7590,7.0000
0.0167,0.0438,10.1335,3.0000
0.0254,0.0176,10.0000,3.0000
0.0176,0.0215,10.0000,2.0000
0.0176,0.0404,9.5078,8.0000
0.0458,0.0713,10.2428,4.0000
0.0939,0.0700,9.9352,2.0000
0.0591,0.0683,9.9132,3.0000
0.0172,0.0750,9.8908,6.0000
0.1702,0.0299,10.3985,6.0000
0.0172,0.0424,8.6879,3.0000
0.0172,0.0395,10.8701,4.0000
0.0172,0.0440,11.2178,4.0000
0.0172,0.1345,9.3817,4.0000
0.1736,0.0626,9.3037,5.0000
0.0211,0.0782,10.5891,4.0000
0.0211,0.0211,10.4438,4.0000
0.0211,0.0211,8.8410,5.0000
0.0211,0.0211,10.5795,2.0000
0.0365,0.0284,9.6470,4.0000
0.0320,0.0218,10.0632,3.0000
0.1520,0.0273,10.0000,2.0000
0.0296,0.0518,9.0468,5.0000
0.0249,0.0335,10.4986,5.0000
0.0249,0.0249,9.9413,4.0000
0.0249,0.0190,10.1861,4.0000
0.0267,0.0148,9.9992,2.0000
0.0616,0.0748,9.2787,4.0000
0.0208,0.0561,9.1689,5.0000
0.0265,0.0414,9.3912,4.0000
0.0254,0.0156,9.9657,3.0000
0.0254,0.0294,9.9991,5.0000
0.0505,0.0140,10.0943,5.0000
0.0036,0.0726,9.9039,4.0000
0.0659,0.0659,10.3362,3.0000
0.0659,0.0962,9.3170,4.0000
0.0505,0.0666,8.6862,5.0000
0.0157,0.0529,10.6632,3.0000
0.0679,0.0248,10.0488,4.0000
0.0279,0.0527,9.8022,5.0000
0.0606,0.0403,9.8263,4.0000
0.0588,0.0281,10.0961,4.0000
0.0176,0.0259,10.0000,4.0000
0.0036,0.0233,10.3717,5.0000
0.0476,0.0317,9.9121,3.0000
0.0458,0.0451,10.3748,5.0000
0.0809,0.0786,9.8902,4.0000
0.0939,0.0918,10.4858,6.0000
0.0827,0.0691,8.6565,5.0000
0.0927,0.0877,10.5957,2.0000
0.0927,0.0456,10.2039,3.0000
0.0927,0.0469,9.7452,4.0000
0.0827,0.1205,9.6505,5.0000
0.1736,0.0748,10.2496,6.0000
0.0827,0.1156,10.2273,5.0000
0.0827,0.0519,9.9408,4.0000
0.0211,0.0416,10.1540,3.0000
0.0211,0.0358,10.4165,5.0000
0.0035,0.0218,10.4284,5.0000
0.0211,0.0211,10.0000,1.0000
0.0211,0.0211,10.4465,2.0000
0.1520,0.0144,10.3517,4.0000
0.0249,0.0232,10.8762,4.0000
0.0249,0.0214,9.1600,4.0000
0.0249,0.0249,10.3455,3.0000
0.0249,0.0406,10.2516,5.0000
0.0790,0.0410,9.8037,4.0000
0.0053,0.0388,10.2146,6.0000
0.0655,0.0278,10.2217,5.0000
0.0036,0.0319,10.9489,3.0000
0.0269,0.0290,10.2877,6.0000
0.0269,0.0392,9.8367,4.0000
0.0301,0.0514,10.3258,4.0000
0.0301,0.0282,9.8912,4.0000
0.0659,0.0487,10.6610,4.0000
0.0029,0.0654,10.4569,4.0000
0.0404,0.0281,9.9761,3.0000
0.0404,0.0619,10.1320,4.0000
0.0157,0.0387,10.2420,6.0000
0.0157,0.0152,10.2919,4.0000
0.0647,0.0442,10.1260,4.0000
0.0176,0.0495,10.2157,4.0000
0.0157,0.0176,10.1370,3.0000
0.0476,0.0458,9.8497,1.0000
0.0458,0.0447,10.0739,5.0000
0.0458,0.0517,9.7106,6.0000
0.0809,0.0573,9.9298,5.0000
0.0511,0.0699,9.8034,4.0000
0.0591,0.0485,10.4242,3.0000
0.0173,0.0624,10.0502,4.0000
0.0176,0.0468,10.3123,7.0000
0.0320,0.0383,10.0494,7.0000
0.0827,0.0511,9.9348,4.0000
0.0827,0.0851,9.9694,6.0000
0.0827,0.0697,10.3044,4.0000
0.0827,0.1225,9.4668,3.0000
0.0208,0.0560,10.3217,4.0000
0.0211,0.0105,10.3009,2.0000
0.0000,0.0185,9.4995,4.0000
0.0036,0.0139,9.4097,5.0000
0.0211,0.0415,9.7817,4.0000
0.1103,0.0675,9.6292,5.0000
0.0249,0.0772,9.7151,3.0000
0.0110,0.0373,10.5246,5.0000
0.0249,0.0718,9.8073,4.0000
0.0500,0.0513,9.7919,3.0000
0.0790,0.0602,10.0112,3.0000
0.0517,0.0782,9.8544,5.0000
0.0517,0.0657,8.8916,4.0000
0.0547,0.0233,9.5168,4.0000
0.0036,0.0648,9.0335,3.0000
0.0457,0.0712,9.0110,5.0000
0.1185,0.0962,9.5149,3.0000
0.1078,0.1188,9.6675,4.0000
0.0301,0.0462,10.0000,2.0000
0.0827,0.0754,10.0107,5.0000
0.0404,0.1064,10.0000,4.0000
0.1759,0.0404,10.3694,3.0000
0.0588,0.0449,10.0001,3.0000
0.0014,0.0630,9.8568,2.0000
0.1004,0.0383,10.4528,5.0000
0.0832,0.0556,9.6624,2.0000
0.0643,0.0361,10.2922,3.0000
0.0269,0.0367,10.3802,6.0000
0.0545,0.0392,10.0264,4.0000
0.0458,0.0568,10.0877,4.0000
0.0809,0.0480,10.1170,3.0000
0.0458,0.0335,10.0039,3.0000
0.0119,0.0591,10.6750,1.0000
0.0265,0.0584,10.1409,4.0000
0.0403,0.0246,9.9374,3.0000
0.0119,0.0281,9.9052,3.0000
0.0643,0.0881,10.2510,4.0000
0.0036,0.0292,10.2747,7.0000
0.0827,0.0827,10.0000,1.0000
0.0655,0.0397,9.9113,5.0000
0.0211,0.0208,9.6920,1.0000
0.0172,0.0709,10.4811,3.0000
0.0806,0.0590,9.7011,4.0000
0.0308,0.0462,10.6439,5.0000
0.0308,0.0325,9.7285,3.0000
0.0710,0.0610,10.0376,5.0000
0.1103,0.0577,9.6746,4.0000
0.1103,0.0668,9.9625,3.0000
0.1562,0.1022,9.8394,6.0000
0.0790,0.0249,10.0000,1.0000
0.0296,0.0799,9.7769,4.0000
0.0824,0.0564,10.5902,5.0000
0.0871,0.0600,9.9142,4.0000
0.0133,0.0750,9.7226,5.0000
0.0929,0.1145,10.1813,4.0000
0.1185,0.1140,9.6709,3.0000
0.1507,0.1101,10.0559,5.0000
0.0301,0.1556,11.0931,2.0000
0.0867,0.0929,9.8603,5.0000
0.0404,0.0404,9.3997,1.0000
0.0404,0.0404,10.6303,4.0000
0.0404,0.0939,8.9448,4.0000
0.0588,0.0487,9.9559,5.0000
0.0172,0.0522,10.0943,4.0000
0.0500,0.0626,10.0000,4.0000
0.0832,0.0633,10.0529,3.0000
0.0269,0.0561,9.8676,4.0000
0.0269,0.0332,9.9999,3.0000
0.0458,0.0351,10.0218,4.0000
0.0458,0.0350,10.0000,3.0000
0.0338,0.0461,10.4247,5.0000
0.0133,0.0189,10.4341,3.0000
0.0119,0.0119,10.0000,1.0000
0.0119,0.0195,10.0000,2.0000
0.0119,0.0445,10.5507,5.0000
0.0119,0.0119,10.1422,2.0000
0.0505,0.0304,9.3832,5.0000
0.0036,0.0192,10.1556,4.0000
0.0036,0.0261,10.2557,3.0000
0.0710,0.0724,9.8306,4.0000
0.1378,0.1162,10.4521,4.0000
0.1850,0.0981,9.8956,4.0000
0.0524,0.0804,8.9985,3.0000
0.0939,0.0109,10.9451,3.0000
0.0173,0.0541,9.9842,5.0000
0.1648,0.1103,9.1931,3.0000
0.1648,0.0937,11.2472,4.0000
0.0035,0.1162,9.2039,5.0000
0.1162,0.0615,10.0188,3.0000
0.0249,0.0778,9.9358,5.0000
0.1408,0.0674,9.4067,7.0000
0.0806,0.0835,10.0808,5.0000
0.1103,0.0466,11.0407,5.0000
0.1007,0.0827,9.5240,4.0000
0.0254,0.0426,9.6127,4.0000
0.1648,0.1196,10.2798,4.0000
0.1648,0.1591,9.9169,4.0000
0.1604,0.1529,9.5656,3.0000
0.2639,0.1071,10.0968,4.0000
0.0208,0.1064,9.7076,5.0000
0.0404,0.0594,10.4854,3.0000
0.1004,0.0723,10.0838,4.0000
0.1004,0.0622,10.1822,5.0000
0.0500,0.0672,10.0000,6.0000
0.0500,0.0500,10.2380,4.0000
0.0500,0.0438,9.9250,4.0000
0.0500,0.0442,10.1292,4.0000
0.0500,0.0515,9.9413,4.0000
0.0133,0.0295,10.3255,2.0000
0.0133,0.0513,9.7559,4.0000
0.1328,0.0158,10.5071,3.0000
0.0133,0.0532,9.9934,4.0000
0.0119,0.0126,10.0069,2.0000
0.0457,0.0671,9.6330,4.0000
0.0119,0.0200,10.5575,3.0000
0.0363,0.0251,8.8560,5.0000
0.0659,0.0512,10.5740,3.0000
0.0659,0.0548,9.3775,3.0000
0.0950,0.0648,10.6655,4.0000
0.0827,0.0975,10.1909,4.0000
0.1185,0.0904,8.4229,3.0000
0.1850,0.1456,9.3127,5.0000
0.0548,0.0707,10.7409,8.0000
0.0524,0.0733,9.2391,4.0000
0.0625,0.0599,10.4517,5.0000
0.0457,0.0393,10.3408,3.0000
0.1436,0.1168,9.4017,4.0000
0.1378,0.0882,9.8402,6.0000
0.1145,0.0763,10.9956,4.0000
0.0898,0.0446,9.8600,3.0000
0.0898,0.0733,10.3529,4.0000
0.0898,0.0733,10.0593,5.0000
0.1007,0.0825,9.9600,3.0000
0.0887,0.0882,9.8893,4.0000
0.0036,0.0036,10.8782,3.0000
0.0036,0.0675,8.0028,3.0000
0.1604,0.1648,9.9781,2.0000
0.0588,0.0542,8.1100,5.0000
0.1604,0.1292,9.1967,6.0000
0.1604,0.0777,9.9066,4.0000
0.0500,0.0928,10.0217,4.0000
0.1083,0.1004,9.7480,2.0000
0.1004,0.0980,10.1234,5.0000
0.0815,0.0548,10.4439,5.0000
0.0500,0.0658,9.0481,4.0000
0.0500,0.0704,10.4418,4.0000
0.0308,0.0341,10.0070,6.0000
0.0357,0.0678,9.1912,4.0000
0.0308,0.0363,9.7651,4.0000
0.0133,0.0133,10.1627,2.0000
0.0208,0.0413,9.1641,5.0000
0.0133,0.0435,10.6572,3.0000
0.0500,0.0160,9.8482,4.0000
0.0403,0.0119,8.6914,1.0000
0.0119,0.0346,10.4286,5.0000
0.0403,0.0241,9.3859,3.0000
0.0569,0.0451,10.2447,4.0000
0.0191,0.0145,10.0973,6.0000
0.0108,0.0521,9.4024,3.0000
0.1269,0.0649,10.3748,5.0000
0.0036,0.1024,10.0897,3.0000
0.1850,0.0733,10.2959,5.0000
0.0524,0.0745,8.7908,4.0000
0.0551,0.0538,11.0623,2.0000
0.0551,0.0474,9.4518,3.0000
0.0244,0.0623,9.4865,4.0000
0.1378,0.0804,10.0000,4.0000
0.1378,0.1378,9.8782,5.0000
0.1378,0.0982,9.3848,4.0000
0.1231,0.0651,8.8572,5.0000
0.0887,0.0630,9.1013,3.0000
0.0887,0.0725,10.0967,4.0000
0.0701,0.0643,9.8320,5.0000
0.1007,0.0534,10.1199,3.0000
0.0014,0.0744,9.6935,5.0000
0.0172,0.0857,9.0097,5.0000
0.1648,0.1374,10.0000,4.0000
0.1648,0.1111,10.0000,3.0000
0.0036,0.1039,9.6319,4.0000
0.0797,0.0903,10.4663,4.0000
0.0797,0.0685,9.7733,6.0000
0.0847,0.0527,9.8888,4.0000
0.0954,0.0623,10.4171,5.0000
0.0049,0.0850,9.6507,4.0000
0.0815,0.0455,10.3380,3.0000
0.0815,0.0710,9.6848,3.0000
0.0815,0.0752,9.9057,3.0000
0.0133,0.0207,10.3273,3.0000
0.0133,0.0113,10.0000,3.0000
0.0133,0.0226,10.0000,4.0000
0.0208,0.0741,9.1477,4.0000
0.0966,0.0473,9.9113,4.0000
0.0588,0.0611,10.5857,3.0000
0.0279,0.0726,10.5357,5.0000
0.0403,0.0140,9.2207,3.0000
0.0035,0.0286,10.2102,4.0000
0.0108,0.0472,9.3368,4.0000
0.0270,0.0725,9.5274,2.0000
0.0108,0.0467,11.1822,3.0000
0.1185,0.0725,7.7631,4.0000
0.0338,0.0819,11.1500,3.0000
0.0936,0.0639,10.3301,4.0000
0.0032,0.0576,10.1885,3.0000
0.0338,0.0363,9.4573,4.0000
0.0176,0.0237,10.0620,3.0000
0.0108,0.0434,10.6222,5.0000
0.0159,0.0570,9.8334,3.0000
0.1378,0.1057,9.6988,4.0000
0.1378,0.0775,10.0606,6.0000
0.0593,0.0407,9.0172,4.0000
0.0107,0.0423,10.8155,4.0000
0.0107,0.0433,9.9332,4.0000
0.0593,0.0691,9.8890,5.0000
0.1520,0.0350,9.6980,3.0000
0.1007,0.0356,9.5937,4.0000
0.0053,0.0093,10.0689,3.0000
0.1648,0.1648,10.0000,4.0000
0.1648,0.1134,9.4627,3.0000
0.0107,0.0540,11.0673,4.0000
0.1850,0.0840,8.8411,3.0000
0.0892,0.1111,10.2548,3.0000
0.0913,0.0739,9.9453,7.0000
0.0815,0.0818,10.1764,5.0000
0.0815,0.0689,9.9465,5.0000
0.0443,0.0643,10.1943,4.0000
