u,deg
70.3954,7.0000
30.0000,3.0000
19.9209,2.0000
50.2266,5.0000
30.0000,3.0000
30.0000,3.0000
20.0791,2.0000
10.0000,1.0000
19.9209,2.0000
70.0000,7.0000
40.0000,4.0000
40.0000,4.0000
10.0000,1.0000
0.0000,0.0000
30.0000,3.0000
20.0000,2.0000
30.0000,3.0000
49.9209,5.0000
110.0000,11.0000
20.0000,2.0000
30.0000,3.0000
10.0000,1.0000
0.0000,0.0000
29.9421,3.0000
109.9844,11.0000
40.0000,4.0000
59.9809,6.0000
19.9209,2.0000
20.0000,2.0000
30.0000,3.0000
19.9232,2.0000
10.0000,1.0000
59.9209,6.0000
19.9209,1.0000
59.9209,6.0000
20.0000,2.0000
30.0000,3.0000
80.0000,8.0000
20.0000,2.0000
89.9209,9.0000
10.0000,1.0000
19.9209,2.0000
10.0000,1.0000
20.0000,2.0000
70.4201,7.0000
80.0000,8.0000
0.0000,0.0000
0.0000,0.0000
110.4745,11.0000
10.0000,1.0000
10.0000,1.0000
40.0000,4.0000
60.0000,6.0000
30.0000,3.0000
29.9894,3.0000
0.0000,0.0000
90.0000,9.0000
60.0000,6.0000
30.0000,3.0000
69.9201,7.0000
20.0000,2.0000
20.0000,2.0000
30.0000,3.0000
39.9209,4.0000
40.0000,4.0000
30.0000,4.0000
70.0000,7.0000
30.0000,3.0000
20.0353,1.0000
60.0000,6.0000
10.0000,1.0000
30.0000,3.0000
30.0000,3.0000
10.0000,1.0000
0.0000,0.0000
69.9844,6.0000
30.0000,3.0000
40.0000,4.0000
19.9809,2.0000
99.9209,10.0000
50.0000,5.0000
20.0000,2.0000
50.0000,5.0000
39.8418,4.0000
19.9647,2.0000
30.0000,3.0000
30.0000,3.0000
39.9902,4.0000
69.9960,7.0000
30.0000,3.0000
70.0000,7.0000
20.0791,2.0000
60.0000,6.0000
50.1582,5.0000
0.0000,0.0000
60.0000,5.0000
10.0000,1.0000
10.0000,1.0000
19.9209,2.0000
20.0000,2.0000
159.9209,16.0000
150.0000,15.0000
120.0000,12.0000
20.0000,2.0000
30.0000,3.0000
10.0000,1.0000
40.0000,4.0000
20.0000,2.0000
30.0000,3.0000
10.0000,1.0000
129.8418,13.0000
20.0000,2.0000
0.0000,0.0000
30.0000,3.0000
10.0000,1.0000
10.0000,1.0000
29.9902,3.0000
20.0000,2.0000
40.0000,4.0000
60.0000,6.0000
0.0000,0.0000
80.3954,8.0000
20.0791,2.0000
20.0000,2.0000
110.0000,11.0000
30.0000,3.0000
30.0000,3.0000
20.0000,2.0000
20.0000,2.0000
40.0000,4.0000
40.0000,4.0000
10.0000,1.0000
70.0000,7.0000
40.0000,4.0000
19.9809,2.0000
110.0000,11.0000
50.0000,5.0000
20.0000,2.0000
20.0000,2.0000
50.0000,5.0000
10.0000,1.0000
50.0000,5.0000
20.0000,2.0000
10.0000,1.0000
10.0000,1.0000
30.0000,3.0000
10.0000,1.0000
100.0000,10.0000
30.0000,3.0000
10.0000,1.0000
49.9209,5.0000
50.0000,5.0000
59.9209,6.0000
10.0000,1.0000
39.9209,4.0000
50.0000,5.0000
50.0000,5.0000
40.0000,4.0000
0.0000,0.0000
49.9103,5.0000
10.0000,1.0000
19.9209,2.0000
40.0000,4.0000
40.0000,3.0000
19.9209,2.0000
20.0000,2.0000
130.0768,13.0000
10.0000,1.0000
10.0000,1.0000
49.9809,5.0000
50.0000,5.0000
20.0000,2.0000
40.0000,4.0000
49.7628,4.0000
20.0000,2.0000
40.0159,4.0000
30.0000,3.0000
20.0000,2.0000
10.0000,1.0000
30.0000,3.0000
10.0000,1.0000
79.9209,8.0000
20.0000,2.0000
49.9209,5.0000
10.0000,2.0000
10.0000,1.0000
10.0000,1.0000
29.9209,3.0000
10.0000,1.0000
60.0000,6.0000
40.0000,4.0000
80.0000,8.0000
20.0000,2.0000
29.9209,3.0000
20.0000,2.0000
20.0000,2.0000
230.0000,23.0000
39.9209,4.0000
59.9209,6.0000
30.0000,3.0000
10.0000,1.0000
70.0000,7.0000
60.0000,6.0000
40.0000,4.0000
0.0000,0.0000
30.0000,3.0000
60.0000,6.0000
10.0000,1.0000
30.0000,3.0000
30.0791,3.0000
30.0000,3.0000
40.0000,4.0000
0.0000,0.0000
30.0000,3.0000
40.0000,4.0000
30.0000,3.0000
10.0000,1.0000
20.0000,2.0000
60.0000,6.0000
19.9209,2.0000
90.0000,9.0000
10.0000,1.0000
69.8630,7.0000
10.0000,1.0000
50.0000,5.0000
30.0353,3.0000
60.0000,6.0000
69.9232,7.0000
20.0000,2.0000
20.0000,2.0000
20.0098,2.0000
50.0000,5.0000
10.0000,1.0000
10.0000,1.0000
20.0000,2.0000
80.3057,8.0000
50.0000,5.0000
90.0000,9.0000
10.0000,1.0000
109.9209,11.0000
110.0000,11.0000
30.0000,3.0000
80.0000,8.0000
30.0000,3.0000
20.0000,2.0000
39.8418,3.0000
50.0000,5.0000
120.0000,13.0000
40.0000,4.0000
0.0000,0.0000
29.9209,3.0000
20.0000,2.0000
20.0000,2.0000
40.0000,4.0000
29.9209,3.0000
30.1582,3.0000
40.1396,3.0000
0.0000,0.0000
30.0000,3.0000
30.0000,3.0000
30.1582,3.0000
40.0000,4.0000
20.0000,2.0000
10.0000,1.0000
10.0000,1.0000
169.8577,17.0000
20.0000,2.0000
119.9209,12.0000
20.0000,2.0000
69.9223,7.0000
20.0000,2.0000
50.3163,5.0000
10.0000,1.0000
20.0000,2.0000
50.0000,5.0000
49.9902,5.0000
90.0000,9.0000
59.9682,6.0000
59.9894,6.0000
40.2372,4.0000
0.0000,1.0000
20.0000,2.0000
30.0791,3.0000
30.0000,3.0000
29.9902,3.0000
40.1582,4.0000
10.0000,1.0000
40.0000,4.0000
0.0000,0.0000
20.0000,2.0000
10.0000,1.0000
40.0000,4.0000
90.0000,9.0000
40.0000,4.0000
10.0000,1.0000
40.0000,4.0000
20.0000,2.0000
30.0000,3.0000
39.9160,4.0000
10.0000,1.0000
20.0000,2.0000
50.0000,5.0000
20.0353,2.0000
140.0000,14.0000
30.0791,3.0000
60.0000,6.0000
39.9682,4.0000
0.0000,0.0000
70.3633,7.0000
50.2372,5.0000
29.8418,3.0000
59.9223,6.0000
30.1582,4.0000
99.9209,10.0000
70.0000,7.0000
30.0000,3.0000
40.0000,4.0000
70.0000,7.0000
20.0000,3.0000
30.0000,3.0000
0.0000,0.0000
50.0000,5.0000
50.0000,5.0000
30.0000,3.0000
0.0000,0.0000
110.0000,11.0000
70.5535,7.0000
69.9894,7.0000
40.0000,4.0000
70.0000,7.0000
20.0000,2.0000
50.0000,5.0000
59.9209,7.0000
20.0000,2.0000
70.0000,7.0000
60.0000,6.0000
39.9209,4.0000
40.0000,4.0000
20.0124,3.0000
40.0000,4.0000
20.0000,2.0000
0.0000,0.0000
60.0000,6.0000
0.0000,0.0000
10.0000,1.0000
20.0000,2.0000
20.0000,2.0000
60.0000,6.0000
99.8418,10.0000
20.0000,2.0000
19.9960,2.0000
10.0000,1.0000
29.9814,3.0000
0.0000,0.0000
59.7628,5.0000
50.0000,5.0000
40.0000,4.0000
20.0768,2.0000
10.0000,1.0000
20.0791,1.0000
60.0000,6.0000
10.0000,1.0000
30.0000,3.0000
10.0000,1.0000
50.0000,5.0000
50.0000,5.0000
70.2274,7.0000
69.9209,7.0000
40.0000,4.0000
0.0000,0.0000
50.0000,6.0000
80.0000,8.0000
30.0000,3.0000
0.0000,0.0000
90.0000,9.0000
49.9209,5.0000
10.0000,1.0000
0.0000,0.0000
100.0000,9.0000
10.0000,1.0000
119.9209,13.0000
19.9232,2.0000
99.9209,10.0000
30.0000,3.0000
80.0000,8.0000
20.0000,2.0000
40.0000,4.0000
90.0000,9.0000
39.9232,4.0000
20.0000,2.0000
0.0000,0.0000
40.0124,4.0000
119.9223,12.0000
70.0000,7.0000
80.3954,9.0000
60.0000,6.0000
19.9209,2.0000
0.0000,0.0000
90.0186,9.0000
80.0000,8.0000
20.0000,2.0000
130.0000,13.0000
29.9902,3.0000
0.0000,0.0000
10.0000,1.0000
60.0000,6.0000
39.9209,4.0000
19.9209,2.0000
50.0000,5.0000
20.0000,2.0000
40.0000,4.0000
30.0212,3.0000
10.0191,1.0000
10.0000,1.0000
39.9503,4.0000
40.0000,4.0000
70.0000,7.0000
59.9209,6.0000
10.0000,1.0000
39.8432,4.0000
10.0000,1.0000
19.9902,2.0000
140.0000,14.0000
0.0000,0.0000
50.0000,5.0000
30.0000,3.0000
59.9209,6.0000
69.9647,7.0000
10.0000,1.0000
30.0000,3.0000
20.0000,2.0000
40.2520,4.0000
30.0000,3.0000
50.0000,5.0000
20.0000,2.0000
20.0000,2.0000
90.0000,9.0000
30.0196,3.0000
40.0000,4.0000
29.9209,3.0000
10.0000,1.0000
40.0000,4.0000
60.0000,6.0000
20.1943,2.0000
90.0000,9.0000
50.0000,5.0000
79.9809,8.0000
119.8432,12.0000
10.0000,0.0000
30.0000,3.0000
19.9209,2.0000
10.0000,1.0000
20.0000,2.0000
20.0000,3.0000
40.0000,4.0000
10.0000,1.0000
10.0000,2.0000
10.0000,1.0000
19.9232,1.0000
29.9814,3.0000
10.0000,1.0000
49.8441,5.0000
89.9209,10.0000
10.0000,1.0000
50.0000,5.0000
69.9809,7.0000
20.0791,2.0000
20.0106,2.0000
100.0000,10.0000
30.1582,3.0000
69.9209,7.0000
10.0791,1.0000
70.1582,6.0000
0.0000,0.0000
160.0000,16.0000
40.0000,4.0000
79.9209,8.0000
0.0000,0.0000
89.9201,9.0000
40.0000,4.0000
40.0000,4.0000
50.0000,5.0000
20.0000,2.0000
20.0106,2.0000
80.0000,8.0000
20.0186,2.0000
89.9223,9.0000
19.9682,2.0000
10.0000,1.0000
50.0791,4.0000
40.2372,5.0000
50.0000,5.0000
30.0000,3.0000
30.0000,3.0000
90.0000,9.0000
20.0000,2.0000
120.0000,12.0000
30.1582,3.0000
29.9209,3.0000
30.0000,3.0000
90.0000,9.0000
30.0000,3.0000
20.0000,2.0000
50.0000,5.0000
10.0000,1.0000
0.0000,0.0000
29.9223,3.0000
30.0098,3.0000
40.0000,4.0000
0.0000,0.0000
80.0000,9.0000
30.0000,3.0000
30.0000,3.0000
89.9894,9.0000
19.9209,2.0000
10.0000,1.0000
20.0000,2.0000
200.0000,20.0000
40.2372,4.0000
0.0000,0.0000
20.0000,2.0000
20.1582,2.0000
10.0000,1.0000
20.0106,2.0000
50.0000,6.0000
40.0000,4.0000
100.0000,10.0000
70.0000,7.0000
40.0000,4.0000
40.0000,4.0000
30.0000,3.0000
39.9809,4.0000
70.0000,7.0000
69.9209,7.0000
160.0000,16.0000
10.0000,1.0000
20.0000,2.0000
69.9103,7.0000
70.0000,7.0000
60.0000,6.0000
20.0000,2.0000
30.0000,3.0000
60.0000,6.0000
20.0000,2.0000
59.9209,6.0000
20.0000,2.0000
80.0000,8.0000
20.0000,2.0000
50.0000,5.0000
10.0000,1.0000
20.0000,2.0000
10.0000,1.0000
50.0000,5.0000
100.0791,10.0000
110.0000,11.0000
30.0791,3.0000
0.0000,0.0000
70.0000,7.0000
20.0000,2.0000
10.0000,1.0000
20.0000,2.0000
20.0000,2.0000
10.0000,1.0000
10.0000,1.0000
39.8418,4.0000
0.0000,0.0000
29.9209,3.0000
20.0000,3.0000
20.0000,2.0000
30.0000,3.0000
49.9209,5.0000
10.0000,1.0000
50.0000,5.0000
79.9894,8.0000
10.0000,1.0000
20.0000,2.0000
30.0000,3.0000
49.9894,5.0000
30.0000,3.0000
20.0791,2.0000
10.0000,1.0000
60.0000,6.0000
29.9209,3.0000
0.0000,0.0000
10.0000,1.0000
0.0000,0.0000
10.0000,1.0000
59.9809,6.0000
29.9209,3.0000
20.0000,2.0000
0.0000,0.0000
70.0000,7.0000
50.2372,5.0000
30.0000,3.0000
10.0000,1.0000
69.9209,7.0000
50.0000,5.0000
20.0000,2.0000
80.0000,8.0000
20.0000,2.0000
10.0000,1.0000
50.0791,5.0000
39.9209,4.0000
30.0000,3.0000
20.0000,2.0000
100.0000,10.0000
10.0000,1.0000
80.0000,8.0000
10.0000,1.0000
39.9209,4.0000
30.0000,3.0000
30.1582,3.0000
89.9223,9.0000
109.9368,11.0000
49.9209,5.0000
0.0000,0.0000
20.0791,2.0000
20.0000,2.0000
10.0000,1.0000
40.0000,4.0000
0.0000,0.0000
49.9209,5.0000
19.9209,2.0000
60.0000,6.0000
20.0791,2.0000
69.9209,7.0000
30.0000,3.0000
40.0000,4.0000
40.0000,4.0000
10.0000,2.0000
49.9160,5.0000
60.0000,6.0000
30.0000,3.0000
20.0000,2.0000
10.0000,1.0000
30.0000,3.0000
60.0000,6.0000
20.0000,2.0000
50.0000,5.0000
190.0000,19.0000
10.0000,1.0000
39.9894,4.0000
20.0000,2.0000
120.0000,12.0000
29.9209,3.0000
20.0000,2.0000
20.0000,2.0000
0.0000,0.0000
50.0000,5.0000
20.0000,2.0000
20.0000,2.0000
110.0000,10.0000
40.0000,4.0000
20.0000,2.0000
20.0000,2.0000
10.0000,1.0000
30.0791,3.0000
60.0000,6.0000
30.0000,3.0000
70.0000,7.0000
0.0000,0.0000
109.9209,11.0000
119.8418,12.0000
60.0000,6.0000
20.0000,2.0000
20.0000,2.0000
10.0000,1.0000
79.9209,8.0000
40.0212,4.0000
20.0000,2.0000
39.8418,4.0000
69.9223,7.0000
10.0000,1.0000
30.0000,3.0000
10.0000,1.0000
60.0000,6.0000
20.0000,2.0000
39.9209,4.0000
10.0000,1.0000
60.3163,5.0000
20.0000,2.0000
30.0000,3.0000
19.9647,2.0000
50.0000,5.0000
49.9223,5.0000
60.3954,6.0000
49.9209,5.0000
60.0000,6.0000
70.0000,7.0000
40.0000,4.0000
0.0000,0.0000
40.0000,4.0000
19.9209,2.0000
90.0000,9.0000
10.0000,1.0000
69.9223,7.0000
20.0000,2.0000
40.0000,4.0000
30.0000,3.0000
30.0000,3.0000
50.0000,5.0000
20.0000,2.0000
90.0000,9.0000
30.0000,3.0000
19.9209,2.0000
10.0000,1.0000
130.0000,13.0000
79.9209,8.0000
50.0000,5.0000
190.0791,19.0000
20.0000,2.0000
59.9209,6.0000
30.0000,3.0000
20.0000,2.0000
10.0000,1.0000
160.0000,16.0000
10.0000,1.0000
20.0000,2.0000
30.0000,3.0000
20.0791,2.0000
30.0000,3.0000
100.0000,10.0000
19.9876,2.0000
20.0000,2.0000
30.0000,3.0000
40.0000,4.0000
20.0000,2.0000
170.0000,17.0000
20.0000,2.0000
89.9223,9.0000
60.3057,6.0000
70.0000,7.0000
20.0000,2.0000
70.2372,7.0000
70.0000,7.0000
59.8418,6.0000
49.8410,4.0000
50.0000,5.0000
10.0000,1.0000
30.0000,3.0000
69.8418,7.0000
0.0000,0.0000
30.0000,3.0000
60.0000,6.0000
30.0000,3.0000
40.0000,4.0000
49.9894,5.0000
10.0000,1.0000
30.0000,3.0000
50.0000,5.0000
59.9209,5.0000
80.0000,8.0000
80.0000,8.0000
40.0000,5.0000
10.0000,1.0000
20.0000,2.0000
30.0000,3.0000
10.0000,1.0000
70.3163,6.0000
10.0000,1.0000
30.0000,3.0000
30.0000,3.0000
30.0000,3.0000
50.0000,5.0000
160.0000,16.0000
40.0000,4.0000
49.9103,5.0000
30.0000,3.0000
30.0000,3.0000
20.0000,2.0000
60.0000,6.0000
20.0000,2.0000
100.0000,10.0000
70.0000,7.0000
10.0000,1.0000
70.1335,7.0000
40.0000,4.0000
40.0000,4.0000
10.0000,1.0000
9.9960,0.0000
20.0000,2.0000
179.9209,18.0000
30.0000,3.0000
20.0000,2.0000
60.0000,6.0000
109.9881,11.0000
60.0000,7.0000
0.0000,0.0000
40.0000,4.0000
20.0000,2.0000
10.0000,1.0000
10.0000,1.0000
10.0000,1.0000
90.0000,9.0000
109.9368,11.0000
10.0000,1.0000
59.9223,6.0000
40.0000,4.0000
80.0318,8.0000
